"4,15 tỷ",75 m²,"55,33 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"62,5 tỷ",703 m²,"88,9 tr/m²","Tân Phú, Hồ Chí Minh",,2
"1,65 tỷ","67,5 m²","24,49 tr/m²","Thạch Thất, Hà Nội",,
Giá thỏa thuận,45 m²,,"Đông Anh, Hà Nội",1,1
Giá thỏa thuận,75 m²,,"Đông Anh, Hà Nội",5,6
"4,5 tỷ",68 m²,"66,18 tr/m²","Hoàng Mai, Hà Nội",2,2
24 tỷ,75 m²,320 tr/m²,"Đông Anh, Hà Nội",,
"5,5 tỷ",80 m²,"68,75 tr/m²","Long Biên, Hà Nội",3,
"6,4 tỷ",56 m²,"114,29 tr/m²","Quận 2, Hồ Chí Minh",1,1
"6,8 tỷ",41 m²,"165,85 tr/m²","Thanh Trì, Hà Nội",4,4
"7,24 tỷ","132,2 m²","54,79 tr/m²","Hoài Đức, Hà Nội",4,
"12,68 tỷ",169 m²,75 tr/m²,"Long Biên, Hà Nội",3,4
"4,55 tỷ",68 m²,"66,91 tr/m²","Hoàng Mai, Hà Nội",2,2
"4,5 tỷ",83 m²,"54,22 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
Giá thỏa thuận,45 m²,,"Đông Anh, Hà Nội",,
"8,6 tỷ",55 m²,"156,36 tr/m²","Nam Từ Liêm, Hà Nội",,
"2,6 tỷ",59 m²,"44,07 tr/m²","Gia Lâm, Hà Nội",2,1
"17,5 tỷ",80 m²,"218,75 tr/m²","Hà Đông, Hà Nội",,
"3,99 tỷ",81 m²,"49,26 tr/m²","Bình Tân, Hồ Chí Minh",2,2
19 tỷ,75 m²,"253,33 tr/m²","Đông Anh, Hà Nội",8,8
"2,6 tỷ",59 m²,"44,07 tr/m²","Gia Lâm, Hà Nội",2,1
"17,5 tỷ",80 m²,"218,75 tr/m²","Hà Đông, Hà Nội",,
"3,99 tỷ",81 m²,"49,26 tr/m²","Bình Tân, Hồ Chí Minh",2,2
19 tỷ,75 m²,"253,33 tr/m²","Đông Anh, Hà Nội",8,8
"6,1 tỷ",80 m²,"76,25 tr/m²","Long Biên, Hà Nội",2,2
"1,55 tỷ","65,23 m²","23,76 tr/m²","Thuận An, Bình Dương",2,2
"4,5 tỷ",83 m²,"54,22 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
"6,4 tỷ",55 m²,"116,36 tr/m²","Quận 2, Hồ Chí Minh",1,1
"1,9 tỷ","37,27 m²","50,98 tr/m²","Quận 7, Hồ Chí Minh",1,1
"7,4 tỷ",86 m²,"86,05 tr/m²","Quận 10, Hồ Chí Minh",2,2
Giá thỏa thuận,142 m²,,"Văn Giang, Hưng Yên",,
"1,05 tỷ",41 m²,"25,61 tr/m²","Thuận An, Bình Dương",1,1
12 tỷ,88 m²,"136,36 tr/m²","Quận 2, Hồ Chí Minh",2,2
"9,9 tỷ",83 m²,"119,28 tr/m²","Quận 1, Hồ Chí Minh",2,2
9 tỷ,75 m²,120 tr/m²,"Văn Giang, Hưng Yên",6,4
"4,8 tỷ","69,6 m²",69 tr/m²,"Nam Từ Liêm, Hà Nội",2,1
"3,3 tỷ",80 m²,"41,25 tr/m²","Thuận An, Bình Dương",3,3
"2,2 tỷ",59 m²,"37,29 tr/m²","Quận 9, Hồ Chí Minh",2,1
"10,8 tỷ",55 m²,"196,36 tr/m²","Thanh Xuân, Hà Nội",6,3
"8,25 tỷ",153 m²,"53,92 tr/m²","Nam Từ Liêm, Hà Nội",3,2
24 tỷ,80 m²,300 tr/m²,"Đông Anh, Hà Nội",,
"5,9 tỷ",48 m²,"122,92 tr/m²","Văn Giang, Hưng Yên",,
"4,5 tỷ",64 m²,"70,31 tr/m²","Nam Từ Liêm, Hà Nội",2,2
Giá thỏa thuận,74 m²,,"Quận 2, Hồ Chí Minh",2,2
59 tỷ,170 m²,"347,06 tr/m²","Tân Bình, Hồ Chí Minh",1,3
"2,15 tỷ",43 m²,50 tr/m²,"Gia Lâm, Hà Nội",1,
"1,87 tỷ",47 m²,"39,79 tr/m²","Quận 9, Hồ Chí Minh",1,1
"14,7 tỷ","101,08 m²","145,43 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"10,8 tỷ",94 m²,"114,89 tr/m²","Quận 2, Hồ Chí Minh",2,2
"5,8 tỷ",80 m²,"72,5 tr/m²","Long Biên, Hà Nội",2,2
"11,5 tỷ","81,3 m²","141,45 tr/m²","Thường Tín, Hà Nội",,
5 tỷ,70 m²,"71,43 tr/m²","Quận 2, Hồ Chí Minh",2,2
"6,4 tỷ",52 m²,"123,08 tr/m²","Quận 2, Hồ Chí Minh",1,1
"8,7 tỷ",59 m²,"147,46 tr/m²","Quận 2, Hồ Chí Minh",1,1
"8,37 tỷ",178 m²,47 tr/m²,"Hai Bà Trưng, Hà Nội",3,3
"9,1 tỷ","290,4 m²","31,34 tr/m²","Phan Thiết, Bình Thuận",,
"1,9 tỷ",68 m²,"27,94 tr/m²","Phủ Lý, Hà Nam",3,1
4 tỷ,"65,5 m²","61,07 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
"3,2 tỷ",58 m²,"55,17 tr/m²","Sơn Trà, Đà Nẵng",1,1
4 tỷ,81 m²,"49,38 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"3,2 tỷ",58 m²,"55,17 tr/m²","Sơn Trà, Đà Nẵng",1,1
4 tỷ,81 m²,"49,38 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"15,2 tỷ",70 m²,"217,14 tr/m²","Quận 2, Hồ Chí Minh",2,2
"2,8 tỷ",55 m²,"50,91 tr/m²","Gia Lâm, Hà Nội",2,1
"8,58 tỷ",70 m²,"122,57 tr/m²","Văn Giang, Hưng Yên",,
260 triệu,200 m²,"1,3 tr/m²","Tân Phú Đông, Tiền Giang",,
Giá thỏa thuận,71 m²,,"Quận 2, Hồ Chí Minh",2,2
"2,8 tỷ",55 m²,"50,91 tr/m²","Quận 9, Hồ Chí Minh",1,1
"3,44 tỷ",65 m²,53 tr/m²,"Văn Giang, Hưng Yên",2,2
"5,6 tỷ",28 m²,200 tr/m²,"Hà Đông, Hà Nội",4,3
Giá thỏa thuận,70 m²,,"Đông Anh, Hà Nội",2,2
"8,8 tỷ",75 m²,"117,33 tr/m²","Văn Giang, Hưng Yên",7,6
"4,4 tỷ",88 m²,50 tr/m²,"Gia Lâm, Hà Nội",2,2
"9,87 tỷ",63 m²,"156,67 tr/m²","Văn Giang, Hưng Yên",4,4
Giá thỏa thuận,88 m²,,"Quận 2, Hồ Chí Minh",2,2
"8,9 tỷ",75 m²,"118,67 tr/m²","Văn Giang, Hưng Yên",6,5
47 tỷ,137 m²,"343,07 tr/m²","Quận 2, Hồ Chí Minh",3,2
7 tỷ,120 m²,"58,33 tr/m²","Cam Ranh, Khánh Hòa",3,3
Giá thỏa thuận,89 m²,,"Đông Anh, Hà Nội",3,2
"13,9 tỷ",84 m²,"165,48 tr/m²","Văn Giang, Hưng Yên",6,5
